Date,High,Low,Open,Close,Volume,Adj Close,Close daily,Adj daily,
1/29/1993,43.96875,43.75,43.96875,43.9375,1003200,26.2992878,,,
2/1/1993,44.25,43.96875,43.96875,44.25,480500,26.48632431,1.007112376,1.007111847, (0.0000005284)
2/2/1993,44.375,44.125,44.21875,44.34375,201300,26.54244804,1.002118644,1.00211897, 0.0000003262 
2/3/1993,44.84375,44.375,44.40625,44.8125,529400,26.82299805,1.010570825,1.010569862, (0.0000009629)
2/4/1993,45.09375,44.46875,44.96875,45,531500,26.93523979,1.0041841,1.004184534, 0.0000004335 
2/5/1993,45.0625,44.71875,44.96875,44.96875,492100,26.91653824,0.999305556,0.999305685, 0.0000001290 
2/8/1993,45.125,44.90625,44.96875,44.96875,596100,26.91653824,1,1, -   
2/9/1993,44.8125,44.5625,44.8125,44.65625,122100,26.72949028,0.99305073,0.993050817, 0.0000000870 
2/10/1993,44.75,44.53125,44.65625,44.71875,379600,26.76689911,1.00139958,1.001399534, (0.0000000462)
2/11/1993,45.125,44.78125,44.78125,44.9375,19500,26.89783478,1.004891684,1.004891701, 0.0000000169 
2/12/1993,44.875,44.59375,44.875,44.59375,42500,26.69207191,0.992350487,0.992350207, (0.0000002796)
2/16/1993,44.46875,43.40625,44.46875,43.46875,374800,26.01869965,0.974772249,0.974772574, 0.0000003245 
2/17/1993,43.53125,43.28125,43.46875,43.4375,210900,25.99999237,0.999281093,0.999281007, (0.0000000862)
2/18/1993,43.9375,42.8125,43.9375,43.40625,378100,25.98127556,0.999280576,0.999280122, (0.0000004531)
2/19/1993,43.5625,43.34375,43.40625,43.5625,34900,26.07481194,1.003599712,1.003600146, 0.0000004337 
2/22/1993,43.78125,43.5625,43.6875,43.71875,513600,26.16834641,1.003586801,1.003587158, 0.0000003574 
2/23/1993,43.875,43.46875,43.84375,43.6875,373700,26.14963722,0.999285204,0.999285045, (0.0000001584)
2/24/1993,44.25,43.71875,43.71875,44.25,26300,26.48632431,1.012875536,1.012875402, (0.0000001346)
2/25/1993,44.375,44.125,44.21875,44.34375,44500,26.54244804,1.002118644,1.00211897, 0.0000003262 
2/26/1993,44.4375,44.1875,44.4375,44.40625,66200,26.5798645,1.001409443,1.001409684, 0.0000002405 
3/1/1993,44.5625,44.21875,44.5625,44.28125,66500,26.50502586,0.997185081,0.997184386, (0.0000006949)
3/2/1993,44.9375,44.25,44.3125,44.9375,182400,26.89783478,1.014820042,1.014820167, 0.0000001248 
3/3/1993,45.15625,44.9375,45,45.125,280100,27.01006126,1.004172462,1.004172324, (0.0000001376)
3/4/1993,45.1875,44.875,45.1875,44.875,89500,26.86042786,0.994459834,0.994460086, 0.0000002525 
3/5/1993,45.125,44.71875,44.9375,44.75,40000,26.78561211,0.997214485,0.997214648, 0.0000001632 
3/8/1993,45.75,44.84375,44.84375,45.75,50800,27.38417053,1.022346369,1.022346266, (0.0000001022)
3/9/1993,45.6875,45.5,45.65625,45.59375,169300,27.29063988,0.996584699,0.996584499, (0.0000002002)
3/10/1993,45.6875,45.40625,45.59375,45.6875,194400,27.34673691,1.002056203,1.002055541, (0.0000006618)
3/11/1993,45.84375,45.5,45.71875,45.5625,70900,27.27194214,0.997264022,0.997264947, 0.0000009253 
3/12/1993,45.21875,44.8125,45.1875,45.09375,643600,26.99136353,0.989711934,0.989711821, (0.0000001128)
3/15/1993,45.3125,45.0625,45.0625,45.3125,310800,27.12230301,1.004851005,1.004851162, 0.0000001574 
3/16/1993,45.4375,45.3125,45.3125,45.3125,30800,27.12230301,1,1, -   
3/17/1993,45.25,44.96875,45.25,45.03125,21800,26.9539547,0.993793103,0.993792993, (0.0000001100)
3/18/1993,45.5,45.21875,45.21875,45.3125,59300,27.12230301,1.006245663,1.006245774, 0.0000001114 
3/19/1993,45.28125,45.03125,45.28125,45.03125,66900,27.08125305,0.993793103,0.998486487, 0.0046933836 
3/22/1993,44.875,44.5625,44.59375,44.78125,183400,26.93089676,0.9944483,0.994447957, (0.0000003432)
3/23/1993,44.9375,44.8125,44.90625,44.875,55200,26.98729324,1.00209351,1.002094118, 0.0000006082 
3/24/1993,45.0625,44.59375,44.8125,44.875,37200,26.98729324,1,1, -   
3/25/1993,45.25,44.84375,44.90625,45.15625,110100,27.15641403,1.006267409,1.006266682, (0.0000007273)
3/26/1993,45.15625,44.875,45.125,44.90625,101500,27.00607872,0.994463668,0.994464096, 0.0000004278 
3/29/1993,45.3125,44.9375,44.9375,45.09375,87100,27.11885452,1.004175365,1.004175941, 0.0000005761 
3/30/1993,45.21875,45.09375,45.15625,45.21875,56000,27.1940136,1.002772003,1.002771469, (0.0000005335)
3/31/1993,45.46875,45.1875,45.34375,45.1875,111600,27.17521095,0.999308915,0.999308574, (0.0000003408)
4/1/1993,45.25,44.9375,45.25,45.03125,129500,27.08125305,0.996542185,0.996542514, 0.0000003290 
4/2/1993,44.65625,44.09375,44.65625,44.09375,59400,26.51745224,0.979181124,0.97918114, 0.0000000159 
4/5/1993,44.4375,44.1875,44.4375,44.3125,172200,26.64900208,1.004961021,1.004960878, (0.0000001429)
4/6/1993,44.40625,44.0625,44.40625,44.1875,129700,26.57382393,0.997179126,0.997178951, (0.0000001747)
4/7/1993,44.34375,44.15625,44.25,44.34375,28000,26.66779518,1.003536068,1.003536234, 0.0000001658 
4/8/1993,44.53125,44.09375,44.53125,44.28125,180800,26.63020706,0.998590557,0.998590505, (0.0000000516)
4/12/1993,44.9375,44.65625,44.71875,44.90625,348500,27.00607872,1.014114326,1.014114485, 0.0000001590 
4/13/1993,45.15625,44.84375,44.875,45,146100,27.06245422,1.002087683,1.002087512, (0.0000001710)
4/14/1993,45.0625,44.90625,45.03125,44.9375,119600,27.02487755,0.998611111,0.998611483, 0.0000003720 
4/15/1993,45.03125,44.75,44.90625,44.9375,148600,27.02487755,1,1, -   
4/16/1993,45.03125,44.875,44.96875,44.9375,47900,27.02487755,1,1, -   
4/19/1993,45.0625,44.71875,44.9375,44.75,157000,26.91211891,0.995827538,0.995827599, 0.0000000604 
4/20/1993,44.75,44.25,44.6875,44.53125,279500,26.78055573,0.995111732,0.995111378, (0.0000003542)
4/21/1993,44.625,44.375,44.625,44.5,67900,26.76177979,0.999298246,0.999298897, 0.0000006509 
4/22/1993,44.6875,43.9375,44.3125,43.9375,97700,26.4234848,0.987359551,0.987359025, (0.0000005253)
4/23/1993,43.96875,43.6875,43.84375,43.75,106000,26.31070518,0.995732575,0.995731842, (0.0000007330)
4/26/1993,43.9375,43.28125,43.78125,43.40625,62600,26.10398483,0.992142857,0.992143109, 0.0000002515 
4/27/1993,43.875,43.34375,43.34375,43.875,156800,26.38589668,1.010799136,1.010799571, 0.0000004354 
4/28/1993,43.90625,43.71875,43.8125,43.78125,85900,26.32951736,0.997863248,0.997863278, 0.0000000304 
4/29/1993,43.96875,43.625,43.875,43.96875,85000,26.44228363,1.004282655,1.004282884, 0.0000002286 
4/30/1993,44.28125,44.03125,44.125,44.03125,88500,26.4798584,1.001421464,1.001421011, (0.0000004534)
5/3/1993,44.3125,43.90625,44.09375,44.3125,80500,26.64900208,1.006387509,1.006387635, 0.0000001264 
5/4/1993,44.625,44.34375,44.40625,44.46875,149100,26.74297523,1.003526093,1.003526329, 0.0000002363 
5/5/1993,44.75,44.46875,44.46875,44.59375,109000,26.81815147,1.002810963,1.002811065, 0.0000001021 
5/6/1993,44.5625,44.40625,44.53125,44.4375,54700,26.72417259,0.996496146,0.996495699, (0.0000004470)
5/7/1993,44.46875,44.28125,44.46875,44.34375,68000,26.66779518,0.997890295,0.997890396, 0.0000001010 
5/10/1993,44.6875,44.40625,44.40625,44.4375,113900,26.72417259,1.002114165,1.002114063, (0.0000001015)
5/11/1993,44.625,44.3125,44.4375,44.625,42600,26.83693123,1.004219409,1.00421935, (0.0000000593)
5/12/1993,44.59375,44.4375,44.4375,44.5625,31000,26.79936028,0.99859944,0.998600028, 0.0000005882 
5/13/1993,44.375,44,44.375,44.03125,129100,26.4798584,0.988078541,0.988078004, (0.0000005378)
5/14/1993,44.15625,43.96875,44.03125,44,63500,26.46107483,0.999290277,0.999290647, 0.0000003701 
5/17/1993,44.15625,43.9375,44.125,44.15625,34000,26.55503273,1.003551136,1.003550797, (0.0000003395)
5/18/1993,44.21875,43.96875,44.1875,44.125,105200,26.53625107,0.999292286,0.999292727, 0.0000004409 
5/19/1993,45.03125,43.84375,44.125,45.03125,50200,27.08125305,1.020538244,1.020538017, (0.0000002263)
5/20/1993,45.15625,44.9375,45.03125,45.15625,98200,27.15641403,1.00277585,1.002775388, (0.0000004623)
5/21/1993,45.25,44.71875,45.1875,44.75,221400,26.91211891,0.99100346,0.991004147, 0.0000006864 
5/24/1993,45.09375,44.84375,44.84375,44.9375,30500,27.02487755,1.004189944,1.004189883, (0.0000000609)
5/25/1993,45.125,45.03125,45.125,45.03125,191800,27.08125305,1.002086231,1.00208606, (0.0000001713)
5/26/1993,45.625,45.125,45.15625,45.59375,102400,27.41952896,1.012491325,1.012491147, (0.0000001786)
5/27/1993,45.65625,45.375,45.65625,45.4375,53800,27.32556915,0.996572995,0.996573252, 0.0000002571 
5/28/1993,45.40625,45,45.40625,45.21875,79100,27.1940136,0.995185695,0.995185624, (0.0000000704)
6/1/1993,45.8125,45.3125,45.375,45.65625,28300,27.45711899,1.00967519,1.009675122, (0.0000000683)
6/2/1993,45.75,45.34375,45.53125,45.59375,20300,27.41952896,0.998631075,0.998630955, (0.0000001194)
6/3/1993,45.5,45.34375,45.5,45.4375,21600,27.32556915,0.996572995,0.996573252, 0.0000002571 
6/4/1993,45.3125,45.09375,45.3125,45.28125,32000,27.23159599,0.99656121,0.996560981, (0.0000002298)
6/7/1993,45.375,45.125,45.375,45.125,121400,27.13762093,0.996549344,0.996549043, (0.0000003014)
6/8/1993,45,44.71875,45,44.71875,104500,26.89331436,0.99099723,0.990997495, 0.0000002652 
6/9/1993,45.0625,44.8125,44.875,44.875,43300,26.98729324,1.00349406,1.003494507, 0.0000004471 
6/10/1993,44.9375,44.75,44.84375,44.90625,17900,27.00607872,1.000696379,1.000696086, (0.0000002928)
6/11/1993,45.15625,44.90625,45.0625,45.09375,647400,27.11885452,1.004175365,1.004175941, 0.0000005761 
6/14/1993,45.1875,45.03125,45.15625,45.03125,64200,27.08125305,0.998613999,0.998613457, (0.0000005421)
6/15/1993,45.125,44.9375,45.09375,44.9375,142400,27.02487755,0.997918112,0.997918283, 0.0000001706 
6/16/1993,45.03125,44.8125,44.9375,45.03125,330900,27.08125305,1.002086231,1.00208606, (0.0000001713)
6/17/1993,45.1875,45.03125,45.125,45.1875,37400,27.17521095,1.003469813,1.003469481, (0.0000003313)
6/18/1993,44.84375,44.5,44.84375,44.5,58500,26.95145035,0.984785615,0.991766003, 0.0069803875 
6/21/1993,44.625,44.53125,44.625,44.59375,29300,27.00821304,1.002106742,1.002106109, (0.0000006325)
6/22/1993,44.65625,44.5625,44.65625,44.625,137500,27.02712822,1.000700771,1.000700349, (0.0000004218)
6/23/1993,44.625,44.21875,44.625,44.21875,227600,26.78109169,0.990896359,0.990896682, 0.0000003239 
6/24/1993,44.8125,44.34375,44.34375,44.8125,243700,27.14068794,1.013427562,1.013427244, (0.0000003178)
6/25/1993,44.90625,44.75,44.78125,44.78125,44800,27.12175751,0.99930265,0.999302507, (0.0000001428)
6/28/1993,45.28125,44.9375,45,45.28125,439900,27.42459297,1.011165387,1.011165776, 0.0000003885 
6/29/1993,45.21875,45,45.21875,45.0625,207500,27.29210472,0.995169082,0.995168998, (0.0000000837)
6/30/1993,45.21875,45,45.125,45.0625,437600,27.29210472,1,1, -   
7/1/1993,45.125,44.875,45.125,44.9375,605700,27.21640015,0.997226075,0.997226136, 0.0000000616 
7/2/1993,44.8125,44.53125,44.78125,44.6875,285400,27.064991,0.994436718,0.994436841, 0.0000001238 
7/6/1993,44.75,44.15625,44.625,44.21875,246400,26.78109169,0.98951049,0.98951046, (0.0000000296)
7/7/1993,44.40625,44.1875,44.1875,44.34375,343700,26.85680389,1.002826855,1.002827077, 0.0000002217 
7/8/1993,44.9375,44.3125,44.375,44.84375,248200,27.1596241,1.011275546,1.011275363, (0.0000001834)
7/9/1993,44.96875,44.75,44.84375,44.96875,378200,27.23532104,1.002787456,1.002787113, (0.0000003433)
7/12/1993,44.96875,44.84375,44.90625,44.9375,373700,27.21640015,0.999305073,0.999305281, 0.0000002079 
7/13/1993,45.09375,44.65625,44.96875,44.90625,389600,27.19746971,0.99930459,0.999304447, (0.0000001422)
7/14/1993,45.1875,44.90625,44.9375,45.0625,617300,27.29210472,1.003479471,1.003479552, 0.0000000809 
7/15/1993,45.03125,44.78125,45.03125,44.875,443800,27.17855835,0.995839112,0.995839589, 0.0000004767 
7/16/1993,44.9375,44.6875,44.90625,44.75,216400,27.10284424,0.997214485,0.997214197, (0.0000002878)
7/19/1993,44.75,44.59375,44.75,44.71875,188200,27.08390999,0.999301676,0.999301393, (0.0000002835)
7/20/1993,44.84375,44.46875,44.6875,44.84375,68500,27.1596241,1.002795248,1.002795538, 0.0000002904 
7/21/1993,44.8125,44.65625,44.78125,44.8125,142700,27.14068794,0.999303136,0.999302783, (0.0000003531)
7/22/1993,44.8125,44.5,44.75,44.5,632400,26.95145035,0.993026499,0.993027531, 0.0000010321 
7/23/1993,44.71875,44.5625,44.59375,44.71875,286200,27.08390999,1.00491573,1.00491475, (0.0000009803)
7/26/1993,45.0625,44.84375,44.84375,44.96875,121300,27.23532104,1.005590496,1.005590443, (0.0000000531)
7/27/1993,45.03125,44.78125,45,44.9375,92800,27.21640015,0.999305073,0.999305281, 0.0000002079 
7/28/1993,44.9375,44.78125,44.84375,44.84375,30800,27.1596241,0.997913769,0.997913903, 0.0000001340 
7/29/1993,45.21875,44.875,44.9375,45.09375,331000,27.31104851,1.005574913,1.00557535, 0.0000004370 
7/30/1993,45.09375,44.78125,45.09375,44.84375,75300,27.1596241,0.994455994,0.994455562, (0.0000004322)
8/2/1993,45.125,44.90625,44.90625,44.96875,41300,27.23532104,1.002787456,1.002787113, (0.0000003433)
8/3/1993,45.1875,44.84375,45.0625,45,81600,27.25425339,1.000694927,1.000695139, 0.0000002123 
8/4/1993,45.09375,44.875,45,45,434000,27.25425339,1,1, -   
8/5/1993,45,44.84375,45,44.90625,36800,27.19746971,0.997916667,0.997916521, (0.0000001461)
8/6/1993,45.0625,44.90625,45.03125,44.96875,402300,27.23532104,1.001391788,1.001391723, (0.0000000658)
8/9/1993,45.34375,45,45.09375,45.21875,828200,27.38674545,1.005559416,1.005559854, 0.0000004377 
8/10/1993,45.21875,45.125,45.1875,45.1875,604900,27.36780167,0.999308915,0.999308286, (0.0000006287)
8/11/1993,45.3125,45.15625,45.15625,45.1875,542200,27.36780167,1,1, -   
8/12/1993,45.3125,44.90625,45.3125,45.0625,303700,27.29210472,0.997233748,0.997234087, 0.0000003392 
8/13/1993,45.15625,45.09375,45.09375,45.125,103500,27.32995033,1.001386963,1.001386687, (0.0000002754)
8/16/1993,45.5,45.15625,45.15625,45.375,241800,27.48136902,1.005540166,1.005540394, 0.0000002275 
8/17/1993,45.53125,45.34375,45.34375,45.53125,369300,27.57601357,1.003443526,1.003443953, 0.0000004269 
8/18/1993,45.875,45.65625,45.6875,45.78125,414300,27.72740936,1.005490734,1.005490126, (0.0000006081)
8/19/1993,45.8125,45.71875,45.8125,45.78125,28500,27.72740936,1,1, -   
8/20/1993,45.8125,45.65625,45.6875,45.8125,80700,27.74634933,1.000682594,1.000683078, 0.0000004837 
8/23/1993,45.75,45.625,45.625,45.71875,15600,27.6895504,0.997953615,0.997952922, (0.0000006931)
8/24/1993,46.21875,45.71875,45.71875,46.21875,273400,27.99237823,1.010936432,1.010936539, 0.0000001066 
8/25/1993,46.4375,46.15625,46.21875,46.25,242300,28.01131058,1.000676133,1.000676339, 0.0000002067 
8/26/1993,46.53125,46.09375,46.28125,46.28125,120000,28.03022385,1.000675676,1.000675201, (0.0000004745)
8/27/1993,46.25,46.15625,46.15625,46.25,25700,28.01131058,0.999324781,0.999325254, 0.0000004739 
8/30/1993,46.5,46.28125,46.28125,46.4375,183500,28.12488365,1.004054054,1.004054543, 0.0000004893 
8/31/1993,46.5625,46.34375,46.40625,46.5625,66500,28.20059204,1.00269179,1.002691865, 0.0000000749 
9/1/1993,46.59375,46.40625,46.40625,46.5,136500,28.16272926,0.998657718,0.998657376, (0.0000003416)
9/2/1993,46.59375,46.3125,46.53125,46.34375,472400,28.06809998,0.996639785,0.996639911, 0.0000001257 
9/3/1993,46.4375,46.25,46.3125,46.375,630500,28.08700943,1.000674309,1.000673699, (0.0000006097)
9/7/1993,46.4375,46,46.375,46.0625,196400,27.89775848,0.993261456,0.993261976, 0.0000005204 
9/8/1993,46.0625,45.59375,46.0625,45.90625,269900,27.80313873,0.99660787,0.996608339, 0.0000004688 
9/9/1993,46.03125,45.71875,45.71875,46,239200,27.85991096,1.002042206,1.002041936, (0.0000002695)
9/10/1993,46.4375,46.0625,46.125,46.40625,106500,28.1059494,1.008831522,1.008831271, (0.0000002503)
9/13/1993,46.5625,46.4375,46.5625,46.4375,66900,28.12488365,1.000673401,1.000673674, 0.0000002734 
9/14/1993,46.3125,46.09375,46.3125,46.25,184500,28.01131058,0.995962315,0.99596183, (0.0000004854)
9/15/1993,46.40625,45.90625,46.0625,46.375,101000,28.08700943,1.002702703,1.002702439, (0.0000002639)
9/16/1993,46.34375,46.15625,46.3125,46.1875,54300,27.9734745,0.995956873,0.995957742, 0.0000008691 
9/17/1993,45.90625,45.75,45.875,45.8125,200900,27.91921997,0.99188092,0.998060501, 0.0061795806 
9/20/1993,45.96875,45.4375,45.875,45.4375,57800,27.69069099,0.991814461,0.991814636, 0.0000001749 
9/21/1993,45.5625,44.8125,45.5,45.28125,318200,27.59546661,0.99656121,0.996561141, (0.0000000694)
9/22/1993,45.71875,45.375,45.4375,45.65625,439700,27.82400894,1.008281573,1.008281879, 0.0000003060 
9/23/1993,45.9375,45.71875,45.78125,45.90625,88500,27.97637177,1.005475702,1.005475948, 0.0000002463 
9/24/1993,45.875,45.71875,45.84375,45.78125,53500,27.90019035,0.997277059,0.997276937, (0.0000001218)
9/27/1993,46.28125,46.125,46.125,46.28125,274600,28.20490265,1.010921502,1.010921513, 0.0000000114 
9/28/1993,46.3125,46.15625,46.3125,46.1875,158300,28.14776802,0.997974342,0.997974302, (0.0000000401)
9/29/1993,46.3125,45.96875,46.1875,46.03125,221000,28.05254173,0.99661705,0.996616915, (0.0000001349)
9/30/1993,46.125,45.84375,46.03125,45.9375,99300,27.99538994,0.99796334,0.997962687, (0.0000006526)
10/1/1993,46.21875,45.8125,45.875,46.15625,22700,28.12871552,1.004761905,1.004762412, 0.0000005071 
10/4/1993,46.21875,46.09375,46.21875,46.21875,1038500,28.1668129,1.001354096,1.001354395, 0.0000002985 
10/5/1993,46.3125,46,46.3125,46.15625,436500,28.12871552,0.998647735,0.998647437, (0.0000002977)
10/6/1993,46.375,46.125,46.1875,46.125,209200,28.10966682,0.999322952,0.999322803, (0.0000001493)
10/7/1993,46.1875,45.96875,46.1875,46,59400,28.03348923,0.997289973,0.997289986, 0.0000000129 
10/8/1993,46.15625,45.71875,46.125,46.0625,54400,28.07157898,1.001358696,1.001358723, 0.0000000275 
10/11/1993,46.25,46.15625,46.15625,46.15625,467100,28.12871552,1.002035278,1.002035387, 0.0000001092 
10/12/1993,46.25,46.1875,46.21875,46.21875,26200,28.1668129,1.001354096,1.001354395, 0.0000002985 
10/13/1993,46.25,46.15625,46.25,46.21875,139100,28.1668129,1,1, -   
10/14/1993,46.8125,46.28125,46.40625,46.8125,108100,28.52864838,1.012846518,1.012846163, (0.0000003546)
10/15/1993,47.15625,46.90625,47.03125,47.0625,1502500,28.68100357,1.005340454,1.005340428, (0.0000000259)
10/18/1993,47.03125,46.875,47.03125,46.9375,722400,28.6048336,0.997343958,0.997344236, 0.0000002788 
10/19/1993,46.96875,46.59375,46.875,46.59375,880100,28.39533806,0.992676431,0.992676219, (0.0000002127)
10/20/1993,46.75,46.5625,46.75,46.65625,230400,28.43342209,1.001341382,1.001341207, (0.0000001745)
10/21/1993,46.6875,46.53125,46.6875,46.59375,56200,28.39533806,0.998660415,0.998660589, 0.0000001740 
10/22/1993,46.84375,46.375,46.65625,46.375,390700,28.26202583,0.995305164,0.995305137, (0.0000000274)
10/25/1993,46.5625,46.28125,46.40625,46.5,114500,28.33819199,1.002695418,1.002695, (0.0000004180)
10/26/1993,46.5,46.3125,46.46875,46.46875,186200,28.31915665,0.999327957,0.99932828, 0.0000003227 
10/27/1993,46.53125,46.40625,46.40625,46.5,118400,28.33819199,1.000672495,1.000672172, (0.0000003231)
10/28/1993,46.96875,46.5625,46.5625,46.84375,129600,28.54770088,1.007392473,1.007393164, 0.0000006907 
10/29/1993,46.875,46.78125,46.8125,46.84375,80700,28.54770088,1,1, -   
11/1/1993,47,46.78125,46.78125,46.96875,36400,28.62386131,1.002668446,1.002667831, (0.0000006150)
11/2/1993,47,46.65625,46.90625,46.9375,262100,28.6048336,0.999334664,0.99933525, 0.0000005861 
11/3/1993,46.90625,46.125,46.90625,46.34375,479100,28.24298859,0.9873502,0.987350214, 0.0000000145 
11/4/1993,46.34375,45.8125,46.34375,45.84375,130400,27.93826485,0.989211059,0.989210641, (0.0000004175)
11/5/1993,46.0625,45.53125,45.71875,46.0625,363200,28.07157898,1.004771643,1.00477174, 0.0000000971 
11/8/1993,46.25,45.96875,46.09375,46.125,367600,28.10966682,1.001356852,1.001356812, (0.0000000405)
11/9/1993,46.46875,46.125,46.4375,46.15625,246900,28.12871552,1.000677507,1.000677656, 0.0000001495 
11/10/1993,46.5,46.03125,46.15625,46.5,46500,28.33819199,1.007447529,1.007447068, (0.0000004603)
11/11/1993,46.625,46.34375,46.5,46.375,88900,28.26202583,0.997311828,0.997312244, 0.0000004158 
11/12/1993,46.75,46.4375,46.46875,46.59375,108200,28.39533806,1.004716981,1.004717009, 0.0000000277 
11/15/1993,46.6875,46.4375,46.6875,46.5625,243300,28.3762989,0.999329309,0.999329497, 0.0000001880 
11/16/1993,46.8125,46.46875,46.65625,46.78125,492600,28.50960732,1.004697987,1.004697879, (0.0000001079)
11/17/1993,46.8125,46.40625,46.8125,46.53125,39600,28.35724449,0.994655979,0.994655738, (0.0000002411)
11/18/1993,46.5625,46.28125,46.46875,46.40625,240800,28.28106689,0.997313633,0.997313646, 0.0000000127 
11/19/1993,46.375,46.21875,46.25,46.3125,106000,28.22393608,0.997979798,0.997979892, 0.0000000939 
11/22/1993,46.21875,45.875,46.1875,46.03125,165300,28.05254173,0.993927126,0.993927341, 0.0000002152 
11/23/1993,46.3125,46.03125,46.28125,46.28125,89700,28.20490265,1.005431093,1.00543127, 0.0000001766 
11/24/1993,46.5,46.34375,46.40625,46.46875,77200,28.31915665,1.004051317,1.004050856, (0.0000004607)
11/26/1993,46.59375,46.46875,46.59375,46.5,1019800,28.33819199,1.000672495,1.000672172, (0.0000003231)
11/29/1993,46.71875,46.3125,46.625,46.3125,517500,28.22393608,0.995967742,0.99596813, 0.0000003881 
11/30/1993,46.5625,46.25,46.28125,46.34375,230000,28.24298859,1.000674764,1.000675048, 0.0000002840 
12/1/1993,46.625,46.40625,46.59375,46.40625,379200,28.28106689,1.001348618,1.001348239, (0.0000003783)
12/2/1993,46.5625,46.40625,46.5,46.53125,352000,28.35724449,1.002693603,1.00269359, (0.0000000128)
12/3/1993,46.71875,46.5,46.5,46.71875,306000,28.4715004,1.00402955,1.004029161, (0.0000003890)
12/6/1993,46.9375,46.78125,46.78125,46.875,99500,28.56673431,1.003344482,1.003344886, 0.0000004042 
12/7/1993,46.90625,46.78125,46.875,46.84375,88800,28.54770088,0.999333333,0.99933372, 0.0000003871 
12/8/1993,46.84375,46.78125,46.84375,46.84375,146700,28.54770088,1,1, -   
12/9/1993,46.90625,46.625,46.84375,46.6875,416500,28.45246887,0.996664443,0.996664109, (0.0000003337)
12/10/1993,46.71875,46.5,46.71875,46.59375,412900,28.39533806,0.997991968,0.997992061, 0.0000000934 
12/13/1993,46.875,46.53125,46.59375,46.875,273200,28.56673431,1.006036217,1.00603607, (0.0000001470)
12/14/1993,46.90625,46.53125,46.90625,46.53125,41900,28.35724449,0.992666667,0.992666651, (0.0000000153)
12/15/1993,46.625,46.46875,46.59375,46.46875,82600,28.31915665,0.998656817,0.998656857, 0.0000000400 
12/16/1993,46.65625,46.5625,46.65625,46.625,78200,28.41435432,1.003362475,1.0033616, (0.0000008748)
12/17/1993,46.59375,46.375,46.40625,46.5625,104700,28.57054901,0.998659517,1.005497035, 0.0068375171 
12/20/1993,46.65625,46.5,46.53125,46.625,68800,28.6088829,1.001342282,1.001341728, (0.0000005543)
12/21/1993,46.5625,46.40625,46.5625,46.46875,205700,28.51302719,0.996648794,0.996649442, 0.0000006487 
12/22/1993,46.8125,46.5,46.59375,46.78125,410300,28.70477104,1.00672495,1.006724781, (0.0000001690)
12/23/1993,46.84375,46.6875,46.75,46.75,533800,28.6855793,0.999331997,0.999331409, (0.0000005880)
12/27/1993,47,46.75,46.75,47,447100,28.83898544,1.005347594,1.005347849, 0.0000002553 
12/28/1993,47.125,46.9375,46.96875,47.09375,880600,28.89651871,1.001994681,1.001994982, 0.0000003014 
12/29/1993,47.15625,47,47.125,47.03125,266700,28.85816002,0.99867286,0.99867255, (0.0000003101)
